Index,Dataset,Isoclass,Cell 1,Cell 2,Cell 3,Class 1,Class 2,Class 3,Spatial Domain 1,Spatial Domain 2,Spatial Domain 3,Brainmap Layer 1,Brainmap Layer 2,Brainmap Layer 3,Anatomical Class 1,Anatomical Class 2,Anatomical Class 3
14,Synapse 4,2,ADAL,RIFR,AVBL,ADA,RIF,AVB,Avoidance,Avoidance,Avoidance,3,3,3,IN3,IN3,IN1
15,Synapse 4,2,ADAL,AVJL,AVBL,ADA,AVJ,AVB,Avoidance,Avoidance,Avoidance,3,2,3,IN3,IN2,IN1
16,Synapse 4,2,ADEL,ADAL,AVAL,ADE,ADA,AVA,Unclassified,Avoidance,Unclassified,1,3,3,SN3,IN3,IN1
17,Synapse 4,2,ADAL,ADER,AVAL,ADA,ADE,AVA,Avoidance,Unclassified,Unclassified,3,1,3,IN3,SN3,IN1
18,Synapse 4,2,ADAL,FLPL,AVAL,ADA,FLP,AVA,Avoidance,Avoidance,Unclassified,3,1,3,IN3,SN3,IN1
19,Synapse 4,2,ADAL,AUAL,AVAL,ADA,AUA,AVA,Avoidance,Taxis,Unclassified,3,3,3,IN3,IN3,IN1
20,Synapse 4,2,ADAL,SAADL,AVAL,ADA,SAAD,AVA,Avoidance,Lateral,Unclassified,3,3,3,IN3,IN2,IN1
21,Synapse 4,2,ADAL,DVC,AVAL,ADA,DVC,AVA,Avoidance,Lateral,Unclassified,3,3,3,IN3,IN2,IN1
22,Synapse 4,2,ADAL,RIBL,AVAL,ADA,RIB,AVA,Avoidance,Taxis,Unclassified,3,3,3,IN3,IN2,IN1
23,Synapse 4,2,ADAL,SAAVL,AVAL,ADA,SAAV,AVA,Avoidance,Lateral,Unclassified,3,3,3,IN3,IN2,IN1
24,Synapse 4,2,ADAL,BAGR,AVAL,ADA,BAG,AVA,Avoidance,Taxis,Unclassified,3,1,3,IN3,SN4,IN1
25,Synapse 4,2,ADAL,AQR,AVAL,ADA,AQR,AVA,Avoidance,Avoidance,Unclassified,3,1,3,IN3,SN4,IN1
26,Synapse 4,2,ADAL,PVPR,AVAL,ADA,PVP,AVA,Avoidance,Avoidance,Unclassified,3,3,3,IN3,IN3,IN1
27,Synapse 4,2,ADAL,RICL,AVAL,ADA,RIC,AVA,Avoidance,Sublateral,Unclassified,3,3,3,IN3,IN2,IN1
28,Synapse 4,2,ADAL,FLPR,AVAL,ADA,FLP,AVA,Avoidance,Avoidance,Unclassified,3,1,3,IN3,SN3,IN1
29,Synapse 4,2,ADAL,PVPL,AVAL,ADA,PVP,AVA,Avoidance,Avoidance,Unclassified,3,3,3,IN3,IN3,IN1
30,Synapse 4,2,ADAL,SDQR,AVAL,ADA,SDQ,AVA,Avoidance,Sublateral,Unclassified,3,2,3,IN3,IN1,IN1
31,Synapse 4,2,ADAL,RICR,AVAL,ADA,RIC,AVA,Avoidance,Sublateral,Unclassified,3,3,3,IN3,IN2,IN1
32,Synapse 4,2,ADAL,CEPVL,RIPL,ADA,CEPV,RIP,Avoidance,Anterior,Anterior,3,1,2,IN3,SN1,IN1
33,Synapse 4,2,ADAL,URADL,RIPL,ADA,URAD,RIP,Avoidance,Anterior,Anterior,3,2,2,IN3,HMN,IN1
34,Synapse 4,2,ADAL,IL1DL,RIPL,ADA,IL1D,RIP,Avoidance,Anterior,Anterior,3,1,2,IN3,SN1,IN1
35,Synapse 4,2,ADAL,IL1VL,RIPL,ADA,IL1V,RIP,Avoidance,Anterior,Anterior,3,1,2,IN3,SN1,IN1
36,Synapse 4,2,ADAL,URAVL,RIPL,ADA,URAV,RIP,Avoidance,Anterior,Anterior,3,2,2,IN3,HMN,IN1
37,Synapse 4,2,ADAL,IL2DL,RIPL,ADA,IL2D,RIP,Avoidance,Anterior,Anterior,3,1,2,IN3,SN1,IN1
38,Synapse 4,2,ADAL,IL2VL,RIPL,ADA,IL2V,RIP,Avoidance,Anterior,Anterior,3,1,2,IN3,SN1,IN1
39,Synapse 4,2,ADAL,AIZL,RIML,ADA,AIZ,RIM,Avoidance,Taxis,Lateral,3,3,3,IN3,IN3,IN1
40,Synapse 4,2,ADAL,RIML,AIBL,ADA,RIM,AIB,Avoidance,Lateral,Taxis,3,3,3,IN3,IN1,IN2
41,Synapse 4,2,ADAL,RIFL,RIML,ADA,RIF,RIM,Avoidance,Avoidance,Lateral,3,3,3,IN3,IN3,IN1
42,Synapse 4,2,ADAL,SAADL,RIML,ADA,SAAD,RIM,Avoidance,Lateral,Lateral,3,3,3,IN3,IN2,IN1
43,Synapse 4,2,ADAL,RIS,RIML,ADA,RIS,RIM,Avoidance,Lateral,Lateral,3,3,3,IN3,IN3,IN1
44,Synapse 4,2,ADAL,RIML,AVKL,ADA,RIM,AVK,Avoidance,Lateral,Lateral,3,3,3,IN3,IN1,IN2
45,Synapse 4,2,ADAL,SAADR,RIML,ADA,SAAD,RIM,Avoidance,Lateral,Lateral,3,3,3,IN3,IN2,IN1
46,Synapse 4,2,ADAL,AVKR,RIML,ADA,AVK,RIM,Avoidance,Lateral,Lateral,3,3,3,IN3,IN2,IN1
47,Synapse 4,2,ADAL,RIFL,AVBR,ADA,RIF,AVB,Avoidance,Avoidance,Avoidance,3,3,3,IN3,IN3,IN1
48,Synapse 4,2,ADAL,PVCL,AVBR,ADA,PVC,AVB,Avoidance,Avoidance,Avoidance,3,3,3,IN3,IN1,IN1
49,Synapse 4,2,ADAL,PVPL,AVBR,ADA,PVP,AVB,Avoidance,Avoidance,Avoidance,3,3,3,IN3,IN3,IN1
50,Synapse 4,2,ADAL,AVJL,AVBR,ADA,AVJ,AVB,Avoidance,Avoidance,Avoidance,3,2,3,IN3,IN2,IN1
51,Synapse 4,2,ADAL,RIFL,AVJR,ADA,RIF,AVJ,Avoidance,Avoidance,Avoidance,3,3,2,IN3,IN3,IN2
52,Synapse 4,2,ADAL,BDUL,AVJR,ADA,BDU,AVJ,Avoidance,Avoidance,Avoidance,3,2,2,IN3,IN3,IN2
53,Synapse 4,2,ALML,AVJR,PVCL,ALM,AVJ,PVC,Avoidance,Avoidance,Avoidance,1,2,3,SN3,IN2,IN1
54,Synapse 4,2,AQR,AVJR,PVCL,AQR,AVJ,PVC,Avoidance,Avoidance,Avoidance,1,2,3,SN4,IN2,IN1
55,Synapse 4,2,PVPL,AVJR,PVCL,PVP,AVJ,PVC,Avoidance,Avoidance,Avoidance,3,2,3,IN3,IN2,IN1
56,Synapse 4,2,AVM,AVJR,PVCL,AVM,AVJ,PVC,Avoidance,Avoidance,Avoidance,1,2,3,SN3,IN2,IN1
57,Synapse 4,2,RIFL,BDUL,AVJR,RIF,BDU,AVJ,Avoidance,Avoidance,Avoidance,3,2,2,IN3,IN3,IN2
58,Synapse 4,2,AVJR,RIML,AVBL,AVJ,RIM,AVB,Avoidance,Lateral,Avoidance,2,3,3,IN2,IN1,IN1
59,Synapse 4,2,ASHL,AVJR,AVBL,ASH,AVJ,AVB,Avoidance,Avoidance,Avoidance,1,2,3,SN5,IN2,IN1
60,Synapse 4,2,AVJR,AIBL,AVBL,AVJ,AIB,AVB,Avoidance,Taxis,Avoidance,2,3,3,IN2,IN2,IN1
61,Synapse 4,2,RIMR,AVJR,AVBL,RIM,AVJ,AVB,Lateral,Avoidance,Avoidance,3,2,3,IN1,IN2,IN1
62,Synapse 4,2,ADAR,AVJR,AVBL,ADA,AVJ,AVB,Avoidance,Avoidance,Avoidance,3,2,3,IN3,IN2,IN1
63,Synapse 4,2,AQR,AVJR,AVBL,AQR,AVJ,AVB,Avoidance,Avoidance,Avoidance,1,2,3,SN4,IN2,IN1
64,Synapse 4,2,PVPR,AVJR,AVBL,PVP,AVJ,AVB,Avoidance,Avoidance,Avoidance,3,2,3,IN3,IN2,IN1
65,Synapse 4,2,PVPL,AVJR,AVBL,PVP,AVJ,AVB,Avoidance,Avoidance,Avoidance,3,2,3,IN3,IN2,IN1
66,Synapse 4,2,AVM,AVJR,AVBL,AVM,AVJ,AVB,Avoidance,Avoidance,Avoidance,1,2,3,SN3,IN2,IN1
67,Synapse 4,2,PVCR,AVJR,AVBL,PVC,AVJ,AVB,Avoidance,Avoidance,Avoidance,3,2,3,IN1,IN2,IN1
68,Synapse 4,2,AVFL,AVJR,AVBL,AVF,AVJ,AVB,Taxis,Avoidance,Avoidance,3,2,3,IN3,IN2,IN1
69,Synapse 4,2,RIFR,AVJR,AVBL,RIF,AVJ,AVB,Avoidance,Avoidance,Avoidance,3,2,3,IN3,IN2,IN1
70,Synapse 4,2,AVJL,AVJR,AVBL,AVJ,AVJ,AVB,Avoidance,Avoidance,Avoidance,2,2,3,IN2,IN2,IN1
71,Synapse 4,2,AVJL,RIML,AVBR,AVJ,RIM,AVB,Avoidance,Lateral,Avoidance,2,3,3,IN2,IN1,IN1
72,Synapse 4,2,RIFL,AVJL,AVBR,RIF,AVJ,AVB,Avoidance,Avoidance,Avoidance,3,2,3,IN3,IN2,IN1
73,Synapse 4,2,AVJL,PVCL,AVBR,AVJ,PVC,AVB,Avoidance,Avoidance,Avoidance,2,3,3,IN2,IN1,IN1
74,Synapse 4,2,PVPL,AVJL,AVBR,PVP,AVJ,AVB,Avoidance,Avoidance,Avoidance,3,2,3,IN3,IN2,IN1
75,Synapse 4,2,PVPL,RIML,AVBR,PVP,RIM,AVB,Avoidance,Lateral,Avoidance,3,3,3,IN3,IN1,IN1
76,Synapse 4,2,PVPL,RIFL,AVBR,PVP,RIF,AVB,Avoidance,Avoidance,Avoidance,3,3,3,IN3,IN3,IN1
77,Synapse 4,2,PVCL,RIML,AVBR,PVC,RIM,AVB,Avoidance,Lateral,Avoidance,3,3,3,IN1,IN1,IN1
78,Synapse 4,2,RIFL,PVCL,AVBR,RIF,PVC,AVB,Avoidance,Avoidance,Avoidance,3,3,3,IN3,IN1,IN1
79,Synapse 4,2,AIZL,AVKR,RIML,AIZ,AVK,RIM,Taxis,Lateral,Lateral,3,3,3,IN3,IN2,IN1
80,Synapse 4,2,AVKR,RIML,AIBL,AVK,RIM,AIB,Lateral,Lateral,Taxis,3,3,3,IN2,IN1,IN2
81,Synapse 4,2,RIFL,AVKR,RIML,RIF,AVK,RIM,Avoidance,Lateral,Lateral,3,3,3,IN3,IN2,IN1
82,Synapse 4,2,RIS,AVKR,RIML,RIS,AVK,RIM,Lateral,Lateral,Lateral,3,3,3,IN3,IN2,IN1
83,Synapse 4,2,AVKR,RIML,AVKL,AVK,RIM,AVK,Lateral,Lateral,Lateral,3,3,3,IN2,IN1,IN2
84,Synapse 4,2,AVKR,SAADR,RIML,AVK,SAAD,RIM,Lateral,Lateral,Lateral,3,3,3,IN2,IN2,IN1
85,Synapse 4,2,RIBR,RIML,SMDVL,RIB,RIM,SMDV,Taxis,Lateral,Lateral,3,3,3,IN2,IN1,SMN
86,Synapse 4,2,RICR,RIML,SMDVL,RIC,RIM,SMDV,Sublateral,Lateral,Lateral,3,3,3,IN2,IN1,SMN
87,Synapse 4,2,OLLR,RIML,SMDVL,OLL,RIM,SMDV,Anterior,Lateral,Lateral,1,3,3,SN1,IN1,SMN
88,Synapse 4,2,URYVR,RIML,SMDVL,URYV,RIM,SMDV,Anterior,Lateral,Lateral,1,3,3,SN1,IN1,SMN
89,Synapse 4,2,RIVL,RIML,SMDVL,RIV,RIM,SMDV,Lateral,Lateral,Lateral,3,3,3,HMN,IN1,SMN
90,Synapse 4,2,RMGL,RIML,RMDR,RMG,RIM,RMD,Sublateral,Lateral,Unclassified,3,3,3,IN1,IN1,HMN
91,Synapse 4,2,RMFL,RIML,RMDR,RMF,RIM,RMD,Lateral,Lateral,Unclassified,3,3,3,IN1,IN1,HMN
92,Synapse 4,2,IL2L,RIML,RMDR,IL2,RIM,RMD,Anterior,Lateral,Unclassified,1,3,3,SN1,IN1,HMN
93,Synapse 4,2,RMHL,RIML,RMDR,RMH,RIM,RMD,Sublateral,Lateral,Unclassified,3,3,3,HMN,IN1,HMN
94,Synapse 4,2,AIZL,SAADR,RIML,AIZ,SAAD,RIM,Taxis,Lateral,Lateral,3,3,3,IN3,IN2,IN1
95,Synapse 4,2,SAADR,RIML,AIBL,SAAD,RIM,AIB,Lateral,Lateral,Taxis,3,3,3,IN2,IN1,IN2
96,Synapse 4,2,RIFL,SAADR,RIML,RIF,SAAD,RIM,Avoidance,Lateral,Lateral,3,3,3,IN3,IN2,IN1
97,Synapse 4,2,SAADR,SAADL,RIML,SAAD,SAAD,RIM,Lateral,Lateral,Lateral,3,3,3,IN2,IN2,IN1
98,Synapse 4,2,RIS,SAADR,RIML,RIS,SAAD,RIM,Lateral,Lateral,Lateral,3,3,3,IN3,IN2,IN1
99,Synapse 4,2,AIZL,RIML,AVKL,AIZ,RIM,AVK,Taxis,Lateral,Lateral,3,3,3,IN3,IN1,IN2
100,Synapse 4,2,RIML,AVKL,AIBL,RIM,AVK,AIB,Lateral,Lateral,Taxis,3,3,3,IN1,IN2,IN2
101,Synapse 4,2,RIFL,RIML,AVKL,RIF,RIM,AVK,Avoidance,Lateral,Lateral,3,3,3,IN3,IN1,IN2
102,Synapse 4,2,SAADL,RIML,AVKL,SAAD,RIM,AVK,Lateral,Lateral,Lateral,3,3,3,IN2,IN1,IN2
103,Synapse 4,2,RIS,AIZL,RIML,RIS,AIZ,RIM,Lateral,Taxis,Lateral,3,3,3,IN3,IN3,IN1
104,Synapse 4,2,RIS,RIML,AIBL,RIS,RIM,AIB,Lateral,Lateral,Taxis,3,3,3,IN3,IN1,IN2
105,Synapse 4,2,RIS,RIFL,RIML,RIS,RIF,RIM,Lateral,Avoidance,Lateral,3,3,3,IN3,IN3,IN1
106,Synapse 4,2,RIS,SAADL,RIML,RIS,SAAD,RIM,Lateral,Lateral,Lateral,3,3,3,IN3,IN2,IN1
107,Synapse 4,2,OLLL,RIML,RIBL,OLL,RIM,RIB,Anterior,Lateral,Taxis,1,3,3,SN1,IN1,IN2
108,Synapse 4,2,RIML,RIGL,RIBL,RIM,RIG,RIB,Lateral,Lateral,Taxis,3,3,3,IN1,IN2,IN2
109,Synapse 4,2,AIYL,RIML,RIBL,AIY,RIM,RIB,Taxis,Lateral,Taxis,2,3,3,IN3,IN1,IN2
110,Synapse 4,2,AINR,RIML,RIBL,AIN,RIM,RIB,Taxis,Lateral,Taxis,2,3,3,IN1,IN1,IN2
111,Synapse 4,2,DVC,RIML,RIBL,DVC,RIM,RIB,Lateral,Lateral,Taxis,3,3,3,IN2,IN1,IN2
112,Synapse 4,2,RIH,RIML,RIBL,RIH,RIM,RIB,Anterior,Lateral,Taxis,3,3,3,IN4,IN1,IN2
113,Synapse 4,2,URYVL,RIML,RIBL,URYV,RIM,RIB,Anterior,Lateral,Taxis,1,3,3,SN1,IN1,IN2
114,Synapse 4,2,AIZL,SAADL,RIML,AIZ,SAAD,RIM,Taxis,Lateral,Lateral,3,3,3,IN3,IN2,IN1
115,Synapse 4,2,RIFL,SAADL,RIML,RIF,SAAD,RIM,Avoidance,Lateral,Lateral,3,3,3,IN3,IN2,IN1
116,Synapse 4,2,OLLL,RIML,SMDDR,OLL,RIM,SMDD,Anterior,Lateral,Lateral,1,3,3,SN1,IN1,SMN
117,Synapse 4,2,RIML,RICL,SMDDR,RIM,RIC,SMDD,Lateral,Sublateral,Lateral,3,3,3,IN1,IN2,SMN
118,Synapse 4,2,URYDL,RIML,SMDDR,URYD,RIM,SMDD,Anterior,Lateral,Lateral,1,3,3,SN1,IN1,SMN
119,Synapse 4,2,RIFL,AIZL,RIML,RIF,AIZ,RIM,Avoidance,Taxis,Lateral,3,3,3,IN3,IN3,IN1
120,Synapse 4,2,RIFL,RIML,AIBL,RIF,RIM,AIB,Avoidance,Lateral,Taxis,3,3,3,IN3,IN1,IN2
121,Synapse 4,2,ADEL,RIML,RMDL,ADE,RIM,RMD,Unclassified,Lateral,Unclassified,1,3,3,SN3,IN1,HMN
122,Synapse 4,2,RIMR,RIML,RMDL,RIM,RIM,RMD,Lateral,Lateral,Unclassified,3,3,3,IN1,IN1,HMN
123,Synapse 4,2,RMGL,RIML,RMDL,RMG,RIM,RMD,Sublateral,Lateral,Unclassified,3,3,3,IN1,IN1,HMN
124,Synapse 4,2,RMFR,RIML,RMDL,RMF,RIM,RMD,Lateral,Lateral,Unclassified,3,3,3,IN1,IN1,HMN
125,Synapse 4,2,RMHR,RIML,RMDL,RMH,RIM,RMD,Sublateral,Lateral,Unclassified,3,3,3,HMN,IN1,HMN
126,Synapse 4,2,RIVL,RIML,RMDL,RIV,RIM,RMD,Lateral,Lateral,Unclassified,3,3,3,HMN,IN1,HMN
127,Synapse 4,2,IL2R,RIML,RMDL,IL2,RIM,RMD,Anterior,Lateral,Unclassified,1,3,3,SN1,IN1,HMN
128,Synapse 4,2,RMGR,RIML,RMDL,RMG,RIM,RMD,Sublateral,Lateral,Unclassified,3,3,3,IN1,IN1,HMN
129,Synapse 4,2,ASHL,RIML,AVBL,ASH,RIM,AVB,Avoidance,Lateral,Avoidance,1,3,3,SN5,IN1,IN1
130,Synapse 4,2,RIMR,RIML,AVBL,RIM,RIM,AVB,Lateral,Lateral,Avoidance,3,3,3,IN1,IN1,IN1
131,Synapse 4,2,ADAR,RIML,AVBL,ADA,RIM,AVB,Avoidance,Lateral,Avoidance,3,3,3,IN3,IN1,IN1
132,Synapse 4,2,PVCL,RIML,AVBL,PVC,RIM,AVB,Avoidance,Lateral,Avoidance,3,3,3,IN1,IN1,IN1
133,Synapse 4,2,AQR,RIML,AVBL,AQR,RIM,AVB,Avoidance,Lateral,Avoidance,1,3,3,SN4,IN1,IN1
134,Synapse 4,2,PVPR,RIML,AVBL,PVP,RIM,AVB,Avoidance,Lateral,Avoidance,3,3,3,IN3,IN1,IN1
135,Synapse 4,2,PVPL,RIML,AVBL,PVP,RIM,AVB,Avoidance,Lateral,Avoidance,3,3,3,IN3,IN1,IN1
136,Synapse 4,2,AVM,RIML,AVBL,AVM,RIM,AVB,Avoidance,Lateral,Avoidance,1,3,3,SN3,IN1,IN1
137,Synapse 4,2,PVCR,RIML,AVBL,PVC,RIM,AVB,Avoidance,Lateral,Avoidance,3,3,3,IN1,IN1,IN1
138,Synapse 4,2,AVFL,RIML,AVBL,AVF,RIM,AVB,Taxis,Lateral,Avoidance,3,3,3,IN3,IN1,IN1
139,Synapse 4,2,RIFR,RIML,AVBL,RIF,RIM,AVB,Avoidance,Lateral,Avoidance,3,3,3,IN3,IN1,IN1
140,Synapse 4,2,AVJL,RIML,AVBL,AVJ,RIM,AVB,Avoidance,Lateral,Avoidance,2,3,3,IN2,IN1,IN1
141,Synapse 4,2,IL2VL,CEPVL,RIPL,IL2V,CEPV,RIP,Anterior,Anterior,Anterior,1,1,2,SN1,SN1,IN1
142,Synapse 4,2,IL2VL,URADL,RIPL,IL2V,URAD,RIP,Anterior,Anterior,Anterior,1,2,2,SN1,HMN,IN1
143,Synapse 4,2,IL2VL,IL1DL,RIPL,IL2V,IL1D,RIP,Anterior,Anterior,Anterior,1,1,2,SN1,SN1,IN1
144,Synapse 4,2,IL2VL,IL2DL,RIPL,IL2V,IL2D,RIP,Anterior,Anterior,Anterior,1,1,2,SN1,SN1,IN1
145,Synapse 4,2,CEPVL,IL2DL,RIPL,CEPV,IL2D,RIP,Anterior,Anterior,Anterior,1,1,2,SN1,SN1,IN1
146,Synapse 4,2,IL2DL,IL1VL,RIPL,IL2D,IL1V,RIP,Anterior,Anterior,Anterior,1,1,2,SN1,SN1,IN1
147,Synapse 4,2,IL2DL,URAVL,RIPL,IL2D,URAV,RIP,Anterior,Anterior,Anterior,1,2,2,SN1,HMN,IN1
148,Synapse 4,2,URAVL,URADL,RIPL,URAV,URAD,RIP,Anterior,Anterior,Anterior,2,2,2,HMN,HMN,IN1
149,Synapse 4,2,IL1DL,URAVL,RIPL,IL1D,URAV,RIP,Anterior,Anterior,Anterior,1,2,2,SN1,HMN,IN1
150,Synapse 4,2,IL1VL,URADL,RIPL,IL1V,URAD,RIP,Anterior,Anterior,Anterior,1,2,2,SN1,HMN,IN1
151,Synapse 4,2,IL1VL,IL1DL,RIPL,IL1V,IL1D,RIP,Anterior,Anterior,Anterior,1,1,2,SN1,SN1,IN1
152,Synapse 4,2,CEPVL,IL1DL,RIPL,CEPV,IL1D,RIP,Anterior,Anterior,Anterior,1,1,2,SN1,SN1,IN1
153,Synapse 4,2,IL1DL,URADL,RIPL,IL1D,URAD,RIP,Anterior,Anterior,Anterior,1,2,2,SN1,HMN,IN1
154,Synapse 4,2,CEPVL,URADL,RIPL,CEPV,URAD,RIP,Anterior,Anterior,Anterior,1,2,2,SN1,HMN,IN1
155,Synapse 4,2,ASHL,RICR,AVAL,ASH,RIC,AVA,Avoidance,Sublateral,Unclassified,1,3,3,SN5,IN2,IN1
156,Synapse 4,2,ADEL,RICR,AVAL,ADE,RIC,AVA,Unclassified,Sublateral,Unclassified,1,3,3,SN3,IN2,IN1
157,Synapse 4,2,ADER,RICR,AVAL,ADE,RIC,AVA,Unclassified,Sublateral,Unclassified,1,3,3,SN3,IN2,IN1
158,Synapse 4,2,FLPL,RICR,AVAL,FLP,RIC,AVA,Avoidance,Sublateral,Unclassified,1,3,3,SN3,IN2,IN1
159,Synapse 4,2,RICR,AUAL,AVAL,RIC,AUA,AVA,Sublateral,Taxis,Unclassified,3,3,3,IN2,IN3,IN1
160,Synapse 4,2,RICR,SAADL,AVAL,RIC,SAAD,AVA,Sublateral,Lateral,Unclassified,3,3,3,IN2,IN2,IN1
161,Synapse 4,2,DVC,RICR,AVAL,DVC,RIC,AVA,Lateral,Sublateral,Unclassified,3,3,3,IN2,IN2,IN1
162,Synapse 4,2,RICR,RIBL,AVAL,RIC,RIB,AVA,Sublateral,Taxis,Unclassified,3,3,3,IN2,IN2,IN1
163,Synapse 4,2,SAAVL,RICR,AVAL,SAAV,RIC,AVA,Lateral,Sublateral,Unclassified,3,3,3,IN2,IN2,IN1
164,Synapse 4,2,BAGR,RICR,AVAL,BAG,RIC,AVA,Taxis,Sublateral,Unclassified,1,3,3,SN4,IN2,IN1
165,Synapse 4,2,AQR,RICR,AVAL,AQR,RIC,AVA,Avoidance,Sublateral,Unclassified,1,3,3,SN4,IN2,IN1
166,Synapse 4,2,PVPR,RICR,AVAL,PVP,RIC,AVA,Avoidance,Sublateral,Unclassified,3,3,3,IN3,IN2,IN1
167,Synapse 4,2,RICR,RICL,AVAL,RIC,RIC,AVA,Sublateral,Sublateral,Unclassified,3,3,3,IN2,IN2,IN1
168,Synapse 4,2,FLPR,RICR,AVAL,FLP,RIC,AVA,Avoidance,Sublateral,Unclassified,1,3,3,SN3,IN2,IN1
169,Synapse 4,2,PVPL,RICR,AVAL,PVP,RIC,AVA,Avoidance,Sublateral,Unclassified,3,3,3,IN3,IN2,IN1
170,Synapse 4,2,SDQR,RICR,AVAL,SDQ,RIC,AVA,Sublateral,Sublateral,Unclassified,2,3,3,IN1,IN2,IN1
171,Synapse 4,2,ASHL,SDQR,AVAL,ASH,SDQ,AVA,Avoidance,Sublateral,Unclassified,1,2,3,SN5,IN1,IN1
172,Synapse 4,2,ADEL,SDQR,AVAL,ADE,SDQ,AVA,Unclassified,Sublateral,Unclassified,1,2,3,SN3,IN1,IN1
173,Synapse 4,2,ADER,SDQR,AVAL,ADE,SDQ,AVA,Unclassified,Sublateral,Unclassified,1,2,3,SN3,IN1,IN1
174,Synapse 4,2,FLPL,SDQR,AVAL,FLP,SDQ,AVA,Avoidance,Sublateral,Unclassified,1,2,3,SN3,IN1,IN1
175,Synapse 4,2,SDQR,AUAL,AVAL,SDQ,AUA,AVA,Sublateral,Taxis,Unclassified,2,3,3,IN1,IN3,IN1
176,Synapse 4,2,SDQR,SAADL,AVAL,SDQ,SAAD,AVA,Sublateral,Lateral,Unclassified,2,3,3,IN1,IN2,IN1
177,Synapse 4,2,DVC,SDQR,AVAL,DVC,SDQ,AVA,Lateral,Sublateral,Unclassified,3,2,3,IN2,IN1,IN1
178,Synapse 4,2,SDQR,RIBL,AVAL,SDQ,RIB,AVA,Sublateral,Taxis,Unclassified,2,3,3,IN1,IN2,IN1
179,Synapse 4,2,SDQR,SAAVL,AVAL,SDQ,SAAV,AVA,Sublateral,Lateral,Unclassified,2,3,3,IN1,IN2,IN1
180,Synapse 4,2,BAGR,SDQR,AVAL,BAG,SDQ,AVA,Taxis,Sublateral,Unclassified,1,2,3,SN4,IN1,IN1
181,Synapse 4,2,AQR,SDQR,AVAL,AQR,SDQ,AVA,Avoidance,Sublateral,Unclassified,1,2,3,SN4,IN1,IN1
182,Synapse 4,2,PVPR,SDQR,AVAL,PVP,SDQ,AVA,Avoidance,Sublateral,Unclassified,3,2,3,IN3,IN1,IN1
183,Synapse 4,2,SDQR,RICL,AVAL,SDQ,RIC,AVA,Sublateral,Sublateral,Unclassified,2,3,3,IN1,IN2,IN1
184,Synapse 4,2,FLPR,SDQR,AVAL,FLP,SDQ,AVA,Avoidance,Sublateral,Unclassified,1,2,3,SN3,IN1,IN1
185,Synapse 4,2,PVPL,SDQR,AVAL,PVP,SDQ,AVA,Avoidance,Sublateral,Unclassified,3,2,3,IN3,IN1,IN1
186,Synapse 4,2,ASHL,PVPL,AVAL,ASH,PVP,AVA,Avoidance,Avoidance,Unclassified,1,3,3,SN5,IN3,IN1
187,Synapse 4,2,ADEL,PVPL,AVAL,ADE,PVP,AVA,Unclassified,Avoidance,Unclassified,1,3,3,SN3,IN3,IN1
188,Synapse 4,2,PVPL,ADER,AVAL,PVP,ADE,AVA,Avoidance,Unclassified,Unclassified,3,1,3,IN3,SN3,IN1
